排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
1,AMD Ryzen 7 9850X3D,780,8,16,4.7GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-7-9850x3d
2,AMD Ryzen 9 9950X3D,768,16,32,4.3GHz,2025.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d
3,AMD Ryzen 9 9950X3D2,746,16,32,4.3GHz,2026.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d2
4,Apple M5 (10-Core),737,10,10,4.6GHz,2025.10,https://www.topcpu.net/cpu/apple-m5-10-core
5,AMD Ryzen 9 9955HX,700,16,32,2.5GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9955hx
6,Apple M4 Max 16 Core,692,16,16,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-16-core
7,Apple M4 Max 14 Core,692,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-14-core
8,AMD Ryzen Threadripper 9960X,677,24,48,4.2GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-9960x
9,Apple M4 Pro 12 Core,672,12,12,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-pro-12-core
10,Apple M4 Pro 14 Core,661,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-pro-14-core
11,AMD Ryzen 3 3300X,653,4,8,3.8GHz,2020.04,https://www.topcpu.net/cpu/amd-ryzen-3-3300x
12,Apple M4 10 Core,653,10,10,4.41GHz,2024.05,https://www.topcpu.net/cpu/apple-m4-10-core
13,Intel Xeon w7-2595X,608,26,52,2.8GHz,2024.08,https://www.topcpu.net/cpu/xeon-w7-2595x
14,Intel Core Ultra 9 285K,591,24,24,3.7GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-9-285k
15,Intel Core Ultra 5 125H,568,14,18,1.2GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-5-125h
16,AMD Ryzen 9 9950X,566,16,32,4.3GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9950x
17,Intel Core i9 14900K,559,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900k
18,Intel Core Ultra 7 265KF,559,20,20,3.9GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-7-265kf
19,Intel Core Ultra 7 265K,559,20,20,3.9GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-7-265k
20,Intel Core i9 14900KF,559,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900kf
21,Apple M3,557,8,8,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3
22,Intel Core i9 14900KS,556,24,32,3.2GHz,2024.03,https://www.topcpu.net/cpu/intel-core-i9-14900ks
23,AMD Ryzen 9 9900X,555,12,24,4.4GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9900x
24,AMD Ryzen 9 9900X3D,551,12,24,4.4GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9900x3d
25,Intel Core i7 1360P,546,12,16,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-1360p
26,Intel Core i5 12500H,544,12,16,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12500h
27,AMD Ryzen 5 9600X,542,6,12,3.9GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-5-9600x
28,Intel Core i9 13900KS,541,24,32,3.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900ks
29,Intel Core Ultra X9 388H,539,16,16,2.1GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x9-388h
30,AMD Ryzen 7 9800X3D,538,8,16,4.7GHz,2024.11,https://www.topcpu.net/cpu/amd-ryzen-7-9800x3d
31,AMD Ryzen 7 9700X,536,8,16,3.8GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-7-9700x
32,Intel Core i9 13900K,533,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900k
33,Intel Core i9 13900KF,533,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900kf
34,Intel Core Ultra 9 275HX,527,24,24,2.7GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-275hx
35,Intel Core i9 14900HX,524,24,32,2.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900hx
36,Intel Core Ultra 5 245KF,520,14,14,4.2GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-5-245kf
37,Intel Core Ultra 5 245K,520,14,14,4.2GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-5-245k
38,Qualcomm Snapdragon X Elite (X1E-80-100),516,12,12,3.4GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite-x1e-80-100
39,Intel Core i7 14700KF,511,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700kf
40,AMD Ryzen 9 7950X3D,508,16,32,4.2GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7950x3d
41,Intel Core Ultra 9 285H,506,16,16,2.9GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285h
42,AMD Ryzen 5 5600XT,501,6,12,3.7GHz,2024.10,https://www.topcpu.net/cpu/amd-ryzen-5-5600xt
43,Intel Core i7 14700K,499,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700k
44,Intel Core i7 14700F,499,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700f
45,Intel Core i7 13700K,495,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700k
46,Intel Core i7 13700KF,495,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700kf
