排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
178,AMD Ryzen 7 5700G,228,8,16,3.8GHz,2021.04,https://www.topcpu.net/cpu/amd-ryzen-7-5700g
179,Intel Core Ultra 7 165H,228,16,22,1.4GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-7-165h
180,Intel Core i9 12900H,227,14,20,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i9-12900h
181,AMD Ryzen 7 7840U,227,8,16,3.3GHz,2023.05,https://www.topcpu.net/cpu/amd-ryzen-7-7840u
182,AMD Ryzen Threadripper Pro 3945WX,226,12,24,4GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-3945wx
183,Intel Core i9 13900H,226,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900h
184,Intel Core Ultra 5 225H,224,14,14,1.7GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-225h
185,AMD Ryzen 5 8600G,223,6,12,4.3GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-5-8600g
186,AMD Ryzen 7 7435HS,223,8,16,3.1GHz,2024.04,https://www.topcpu.net/cpu/amd-ryzen-7-7435hs
187,Intel Core Ultra 9 285H,223,16,16,2.9GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285h
188,Intel Xeon Silver 4310,222,12,24,2.1GHz,2021.04,https://www.topcpu.net/cpu/intel-xeon-silver-4310
189,Intel Core i9 10900F,221,10,20,2.8GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i9-10900f
190,AMD Ryzen 7 5700,219,8,16,3.7GHz,2022.04,https://www.topcpu.net/cpu/amd-ryzen-7-5700
191,Intel Core i9 11900KF,218,8,16,3.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900kf
192,Intel Core i9 11900F,217,8,16,2.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900f
193,Intel Core i7 13620H,217,10,16,2.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13620h
194,Intel Core i7 11800H,216,8,16,1.9-2.3GHz,2021.05,https://www.topcpu.net/cpu/intel-core-i7-11800h
195,Intel Core i7 11700K,215,8,16,3.6GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i7-11700k
196,Intel Core i5 13400,215,10,16,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13400
197,Intel Core i7 14700T,215,20,28,1.3GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700t
198,Intel Core i7 10700K,214,8,16,3.8GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i7-10700k
199,AMD Ryzen 9 5900HX,214,8,16,3.3GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-9-5900hx
200,AMD Ryzen 7 7735HS,213,8,16,3.2GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7735hs
201,AMD Ryzen 9 6900HS,213,8,16,3.3GHz,2022.01,https://www.topcpu.net/cpu/amd-ryzen-9-6900hs
202,Apple M1 Max,212,10,10,3.2GHz,2021.10,https://www.topcpu.net/cpu/apple-m1-max
203,Apple M1 Pro,211,10,10,2.0GHz,2021.10,https://www.topcpu.net/cpu/apple-m1-pro
204,Intel Core i9 9900K,210,8,16,3.6GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9900k
205,Intel Core i5 12400F,210,6,12,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12400f
206,Intel Core i5 13450HX,209,10,16,2.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13450hx
207,Intel Core i9 11950H,209,8,16,2.1-2.6GHz,2021.05,https://www.topcpu.net/cpu/intel-core-i9-11950h
208,AMD Ryzen 7 PRO 7840U,209,8,16,3.3GHz,2023.06,https://www.topcpu.net/cpu/amd-ryzen-7-pro-7840u
209,Intel Core i7 11850H,207,8,16,2.1-2.5GHz,2021.05,https://www.topcpu.net/cpu/intel-core-i7-11850h
210,Intel Core i5 14400F,207,10,16,2.5GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14400f
211,Intel Xeon E-2388G,206,8,16,3.2GHz,2021.09,https://www.topcpu.net/cpu/intel-xeon-e-2388g
212,AMD EPYC 74F3,206,24,48,2.8GHz,2021.03,https://www.topcpu.net/cpu/amd-epyc-74f3
213,Intel Core i9 11900K,205,8,16,3.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900k
