排名,名称,跑分,规格,上市时间,详情页
145,Samsung Exynos 980,262,8C @ 2200MHz  - 2019.09,2019.09,https://www.topcpu.net/cpu/samsung-exynos-980
146,MediaTek Helio G95,259,8C @ 2050MHz  - 2020.09,2020.09,https://www.topcpu.net/cpu/mediatek-helio-g95
147,Samsung Exynos 880,259,8C @ 2000MHz  - 2020.05,2020.05,https://www.topcpu.net/cpu/samsung-exynos-880
148,MediaTek Dimensity 930,259,8C @ 2200MHz  - 2022.05,2022.05,https://www.topcpu.net/cpu/mediatek-dimensity-930
149,MediaTek Dimensity 7020,259,8C @ 2200MHz  - 2023.05,2023.05,https://www.topcpu.net/cpu/mediatek-dimensity-7020
150,MediaTek Dimensity 7100,256,8C @ 2400MHz  - 2026.01,2026.01,https://www.topcpu.net/cpu/mediatek-dimensity-7100
151,Apple A10 Fusion,249,4C @ 2340MHz  - 2016.09,2016.09,https://www.topcpu.net/cpu/apple-a10-fusion
152,Samsung Exynos 8890,249,8C @ 2300MHz  - 2015.11,2015.11,https://www.topcpu.net/cpu/samsung-exynos-8890
153,Apple A9,249,2C @ 1850MHz  - 2015.09,2015.09,https://www.topcpu.net/cpu/apple-a9
154,MediaTek Dimensity 700,243,8C @ 2200MHz  - 2020.11,2020.11,https://www.topcpu.net/cpu/mediatek-dimensity-700
155,Qualcomm Snapdragon 662,243,8C @ 2000MHz  - 2020.01,2020.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-662
156,Qualcomm Snapdragon 665,243,8C @ 2000MHz  - 2019.04,2019.04,https://www.topcpu.net/cpu/qualcomm-snapdragon-665
157,MediaTek Dimensity 810,243,8C @ 2400MHz  - 2021.08,2021.08,https://www.topcpu.net/cpu/mediatek-dimensity-810
158,MediaTek Helio G96,243,8C @ 2050MHz  - 2021.06,2021.06,https://www.topcpu.net/cpu/mediatek-helio-g96
159,MediaTek Dimensity 6020,243,8C @ 2200MHz  - 2023.03,2023.03,https://www.topcpu.net/cpu/mediatek-dimensity-6020
160,MediaTek Dimensity 6080,243,8C @ 2400MHz  - 2023.06,2023.06,https://www.topcpu.net/cpu/mediatek-dimensity-6080
161,MediaTek Dimensity 6100 Plus,243,8C @ 2200MHz  - 2023.07,2023.07,https://www.topcpu.net/cpu/mediatek-dimensity-6100-plus
162,Qualcomm Snapdragon 685,243,8C @ 2800MHz  - 2023.03,2023.03,https://www.topcpu.net/cpu/qualcomm-snapdragon-685
163,MediaTek Dimensity 7060,243,8C @ 2600MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/mediatek-dimensity-7060
164,Samsung Exynos 1330,240,8C @ 2400MHz  - 2023.02,2023.02,https://www.topcpu.net/cpu/samsung-exynos-1330
165,HiSilicon Kirin 810,236,8C @ 2270MHz  - 2019.06,2019.06,https://www.topcpu.net/cpu/hisilicon-kirin-810
166,MediaTek Helio G90T,230,8C @ 2050MHz  - 2019.07,2019.07,https://www.topcpu.net/cpu/mediatek-helio-g90t
167,MediaTek Helio X30,217,10C @ 2600MHz  - 2017.02,2017.02,https://www.topcpu.net/cpu/mediatek-helio-x30
168,Qualcomm Snapdragon 660,217,8C @ 2200MHz  - 2017.05,2017.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-660
