排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
50,AMD Ryzen 9 7945HX,19488,16,32,2.5GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx
51,AMD Ryzen 9 7900X3D,19407,12,24,4.4GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900x3d
52,AMD Ryzen 9 7945HX3D,19153,16,32,2.3GHz,2023.08,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx3d
53,Intel Core i5 14600K,19125,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600k
54,AMD Ryzen 9 5950X,18397,16,32,3.4GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-9-5950x
55,Intel Core Ultra 5 245K,18354,14,14,4.2GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-5-245k
56,Intel Xeon Platinum 8253,18291,16,32,2.2GHz,2018.12,https://www.topcpu.net/cpu/xeon-platinum-8253
57,AMD Ryzen 9 7900,17950,12,24,3.7GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900
58,Intel Core i7 13850HX,17695,20,28,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13850hx
59,Intel Core i9 12900KS,17685,16,24,3.4GHz,2022.04,https://www.topcpu.net/cpu/intel-core-i9-12900ks
60,Intel Xeon E7-4830 v3,17562,12,24,2.1GHz,2015.06,https://www.topcpu.net/cpu/intel-xeon-e7-4830-v3
61,Intel Core i9 12900KF,17469,16,24,3.2GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i9-12900kf
62,AMD Ryzen Threadripper 2990WX,17328,32,64,3.0GHz,2018.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2990wx
63,Intel Core i9 9980XE,17154,18,36,3.0GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9980xe
64,Intel Core i9 10980XE,17131,18,36,3.0GHz,2019.10,https://www.topcpu.net/cpu/intel-core-i9-10980xe
65,Intel Core i9 12900K,17028,16,24,"3,2GHz",2021.10,https://www.topcpu.net/cpu/intel-core-i9-12900k
66,AMD Ryzen 9 7845HX,16693,12,24,3.0GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7845hx
67,Intel Xeon E7-4820 v3,16499,10,20,1.9GHz,2015.06,https://www.topcpu.net/cpu/intel-xeon-e7-4820-v3
68,Intel Xeon E7-8870 v3,16314,18,36,2.1GHz,2015.06,https://www.topcpu.net/cpu/intel-xeon-e7-8870-v3
69,Intel Core i9 12950HX,16170,16,24,2.3GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i9-12950hx
70,AMD Ryzen 7 7800X,16163,8,16,4.5GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7800x
71,Intel Core i9 12900HX,16154,16,24,2.3GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i9-12900hx
72,Intel Core i5 13600K,16119,14,20,3.5GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i5-13600k
73,Intel Core i7 13700HX,16085,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700hx
74,Intel Core i7 12700K,15499,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700k
75,Intel Core i5 13600KF,15252,14,20,3.5GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i5-13600kf
76,Intel Xeon Gold 5318N,15234,24,48,2.1GHz,2021.04,https://www.topcpu.net/cpu/intel-xeon-gold-5318n
77,Intel Core i9 9960X,15176,16,32,3.1GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9960x
78,AMD EPYC 72F3,15109,8,16,3.7GHz,2021.03,https://www.topcpu.net/cpu/amd-epyc-72f3
79,AMD Ryzen Threadripper Pro 3955WX,15072,16,32,3.9GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-3955wx
80,Apple M2 Max,15030,12,12,3.5GHz,2023.01,https://www.topcpu.net/cpu/apple-m2-max
81,Intel Core i9 13900HK,15001,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900hk
82,Intel Core i7 12700KF,14961,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700kf
83,Apple M2 Pro,14863,12,12,3.5GHz,2023.01,https://www.topcpu.net/cpu/apple-m2-pro
84,Intel Core i9 7980XE,14735,18,36,2.6GHz,2017.09,https://www.topcpu.net/cpu/intel-core-i9-7980xe
85,Intel Core i7 12850HX,14589,16,24,2.1GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i7-12850hx
86,Intel Core i9 13905H,14532,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13905h
87,AMD Ryzen 9 3950X,14487,16,32,3.5GHz,2019.11,https://www.topcpu.net/cpu/amd-ryzen-9-3950x
88,Intel Core i9 13900H,14479,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900h
89,Intel Core i9 9940X,14374,14,28,3.3GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9940x
90,Intel Xeon Silver 4310T,14368,10,20,2.3GHz,2021.04,https://www.topcpu.net/cpu/intel-xeon-silver-4310t
91,Intel Core i5 13600,14338,14,20,2.7GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13600
92,Intel Core i7 13650HX,14277,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13650hx
93,Intel Core Ultra 9 185H,14230,16,22,2.3GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-9-185h
94,AMD Ryzen Threadripper Pro 3945WX,14155,12,24,4GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-3945wx
95,Intel Core i7 12800HX,14104,16,24,2.0GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i7-12800hx
96,AMD Ryzen 7 7700X,14074,8,16,4.5GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-7-7700x
97,AMD Ryzen 9 5900X,14023,12,24,3.7GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-9-5900x
98,AMD Ryzen 7 7700,13851,8,16,3.8GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7700
99,Intel Xeon E5-2669 v3,13823,12,24,2.3GHz,2015.01,https://www.topcpu.net/cpu/intel-xeon-e5-2669-v3
100,Intel Core i7 13800H,13759,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13800h
101,Intel Core i5 13500HX,13738,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500hx
102,Intel Core i9 7960X,13687,16,32,2.8GHz,2017.09,https://www.topcpu.net/cpu/intel-core-i9-7960x
103,AMD Ryzen 7 7800X3D,13605,8,16,4.4GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7800x3d
104,Intel Core i5 13600HX,13585,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13600hx
105,Intel Core i9 10940X,13573,14,28,3.3GHz,2019.10,https://www.topcpu.net/cpu/intel-core-i9-10940x
106,Intel Core i9 10920X,13408,12,24,3.5GHz,2019.10,https://www.topcpu.net/cpu/intel-core-i9-10920x
107,Intel Core i9 12900HK,13317,14,20,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i9-12900hk
108,Intel Core i7 13700H,13242,14,20,2.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700h
109,AMD Ryzen 7 7745HX,13041,8,16,3.6GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7745hx
110,AMD Ryzen 9 5900,13017,12,24,3.0GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-9-5900
111,Intel Xeon W-3323,12998,12,24,3.5GHz,2021.07,https://www.topcpu.net/cpu/intel-xeon-w-3323
