排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
1,AMD Ryzen 9 7950X3D,2294,16,32,4.2GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7950x3d
2,AMD Ryzen 9 7900X,2277,12,24,4.7GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-9-7900x
3,Intel Core i9 13900K,2274,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900k
4,Intel Core Ultra 5 245K,2248,14,14,4.2GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-5-245k
5,Intel Core i9 13900KS,2242,24,32,3.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900ks
6,AMD Ryzen 9 7950X,2232,16,32,4.5GHz,2022.08,https://www.topcpu.net/cpu/amd-ryzen-9-7950x
7,Intel Core i5 14600K,2217,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600k
8,AMD Ryzen 7 7700X,2210,8,16,4.5GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-7-7700x
9,AMD Ryzen 5 7600X,2200,6,12,4.7GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-5-7600x
10,AMD Ryzen 9 7900X3D,2180,12,24,4.4GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900x3d
11,Intel Core i9 13900KF,2178,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900kf
12,AMD Ryzen 7 7700,2159,8,16,3.8GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7700
13,AMD Ryzen 9 7900,2148,12,24,3.7GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900
14,AMD Ryzen 9 7945HX3D,2138,16,32,2.3GHz,2023.08,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx3d
15,Intel Core i7 13700KF,2123,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700kf
16,Intel Core i9 13900F,2121,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900f
17,Intel Core i9 13900,2111,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900
18,Intel Core i7 13700K,2108,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700k
19,AMD Ryzen 7 7800X,2097,8,16,4.5GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7800x
20,AMD Ryzen 9 7945HX,2095,16,32,2.5GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx
21,Intel Core i9 13980HX,2090,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13980hx
22,Intel Core i7 12700K,2084,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700k
23,AMD Ryzen 5 7600,2080,6,12,3.8GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-5-7600
24,AMD Ryzen 9 7845HX,2052,12,24,3.0GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7845hx
25,Intel Core i9 12900KS,2041,16,24,3.4GHz,2022.04,https://www.topcpu.net/cpu/intel-core-i9-12900ks
