排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
432,Intel Core i3 13100,2300,4,8,3.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i3-13100
433,Intel Core i5 11600K,2295,6,12,3.9GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i5-11600k
434,AMD Ryzen 7 8840HS,2293,8,16,3.3GHz,2023.12,https://www.topcpu.net/cpu/amd-ryzen-7-8840hs
435,AMD Ryzen Z1,2291,6,12,3.2GHz,2023.04,https://www.topcpu.net/cpu/amd-ryzen-z1
436,Intel Xeon W-1390P,2287,8,16,3.5GHz,2021.05,https://www.topcpu.net/cpu/xeon-w-1390p
437,AMD Ryzen 7 PRO 8840HS,2286,8,16,3.3GHz,2024.04,https://www.topcpu.net/cpu/amd-ryzen-7-pro-8840hs
438,Intel Core i5 12600H,2280,12,16,2.7GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12600h
439,Intel Core i7 13700H,2279,14,20,2.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700h
440,Intel Core i5 13500,2277,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500
441,Intel Core i3 12300T,2269,4,8,2.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i3-12300t
442,Intel Core i9-11900KB,2268,8,16,3.3GHz,2021.05,https://www.topcpu.net/cpu/intel-core-i9-11900kb
443,AMD Ryzen 5 8640HS,2267,6,12,3.5GHz,2023.12,https://www.topcpu.net/cpu/amd-ryzen-5-8640hs
444,Intel Core i7 12700T,2265,12,20,1.4GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700t
445,Intel Core i5 12450HX,2263,8,12,2.4GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i5-12450hx
446,Intel Core i5 11600KF,2258,6,12,3.9GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i5-11600kf
447,Intel Xeon E-2356G,2252,6,12,3.2GHz,2021.09,https://www.topcpu.net/cpu/intel-xeon-e-2356g
448,Intel Core i7 1255U,2248,10,12,1.7GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i7-1255u
449,Intel Core i3 12300,2247,4,8,3.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i3-12300
450,Intel Core i3-14100T,2246,4,8,2.7GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i3-14100t
451,AMD EPYC Embedded 9254,2245,24,48,2.9GHz,2023.03,https://www.topcpu.net/cpu/amd-epyc-embedded-9254
452,AMD EPYC 9254,2245,24,48,2.9GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9254
453,Intel Core i5 12400,2244,6,12,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12400
454,Intel Xeon E-2374G,2242,4,8,3.7GHz,2021.09,https://www.topcpu.net/cpu/intel-xeon-e-2374g
455,Intel Core Ultra 5 125H,2240,14,18,1.2GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-5-125h
456,AMD EPYC 9184X,2238,16,32,3.55GHz,2023.06,https://www.topcpu.net/cpu/amd-epyc-9184x
457,Intel Core i5 1335U,2237,10,12,1.3GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-1335u
458,Intel Core Ultra 5 332,2237,6,6,2.5GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-5-332
459,AMD Ryzen 9 5900X,2235,12,24,3.7GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-9-5900x
460,Intel Xeon W-1390,2233,8,16,2.8GHz,2021.05,https://www.topcpu.net/cpu/xeon-w-1390
461,Apple M1,2231,8,8,2.1GHz,2020.11,https://www.topcpu.net/cpu/apple-m1
