排名,名称,跑分,规格,上市时间,详情页
231,Qualcomm Snapdragon 632,296,8C @ 1800MHz  - 2018.06,2018.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-632
232,Qualcomm Snapdragon 636,295,8C @ 1800MHz  - 2017.10,2017.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-636
233,Qualcomm Snapdragon 650,291,6C @ 1800MHz  - 2015.02,2015.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-650
234,Samsung Exynos 7904,287,8C @ 1800MHz  - 2019.02,2019.02,https://www.topcpu.net/cpu/samsung-exynos-7904
235,Qualcomm Snapdragon 460,272,8C @ 1800MHz  - 2020.01,2020.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-460
236,MediaTek Helio P35,261,8C @ 2300MHz  - 2018.12,2018.12,https://www.topcpu.net/cpu/mediatek-helio-p35
237,Samsung Exynos 7884B,256,8C @ 1560MHz  - 2019.09,2019.09,https://www.topcpu.net/cpu/samsung-exynos-7884b
238,MediaTek Helio P22,234,8C @ 2000MHz  - 2018.05,2018.05,https://www.topcpu.net/cpu/mediatek-helio-p22
239,MediaTek Helio G36,229,8C @ 2200MHz  - 2022.02,2022.02,https://www.topcpu.net/cpu/mediatek-helio-g36
240,Samsung Exynos 850,223,8C @ 2000MHz  - 2020.05,2020.05,https://www.topcpu.net/cpu/samsung-exynos-850
241,Qualcomm Snapdragon 810,216,8C @ 2000MHz  - 2014.04,2014.04,https://www.topcpu.net/cpu/qualcomm-snapdragon-810
242,HiSilicon Kirin 659,215,8C @ 2360MHz  - 2017.01,2017.01,https://www.topcpu.net/cpu/hisilicon-kirin-659
243,Qualcomm Snapdragon 626,209,8C @ 2200MHz  - 2016.10,2016.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-626
244,Qualcomm Snapdragon 652,208,8C @ 1800MHz  - 2015.02,2015.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-652
