排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
42,AMD Ryzen 7 Pro 9745,134,8,16,3.8GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-7-pro-9745
43,Qualcomm Snapdragon X Elite,133,12,12,3.8GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite
44,AMD Ryzen 7 9700X,133,8,16,3.8GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-7-9700x
45,AMD Ryzen AI Max 385,133,8,16,3.6GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-385
46,Intel Core Ultra 9 285,133,24,24,2.5GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-9-285
47,Apple M3 Ultra,133,32,32,4.05GHz,2025.03,https://www.topcpu.net/cpu/apple-m3-ultra
48,Intel Core i9 13900KF,132,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900kf
49,AMD Ryzen 7 9800X3D,132,8,16,4.7GHz,2024.11,https://www.topcpu.net/cpu/amd-ryzen-7-9800x3d
50,Intel Core Ultra 7 265HX,132,20,20,2.6GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-265hx
51,Intel Core Ultra 7 255HX,132,20,20,2.4GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-255hx
52,AMD Ryzen Threadripper PRO 9995WX,132,96,192,2.5GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9995wx
53,AMD Ryzen 5 Pro 9645,132,6,12,3.9GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-5-pro-9645
54,Intel Core i7 14700KF,131,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700kf
55,Intel Core Ultra 9 275HX,131,24,24,2.7GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-275hx
56,Intel Core Ultra 5 245HX,131,14,14,3.1GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-245hx
57,Intel Core Ultra 5 235HX,131,14,14,2.9GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-235hx
58,Intel Core Ultra 7 265,131,20,20,2.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-7-265
59,Intel Core Ultra 7 270HX Plus,131,20,20,2.4GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-7-270hx-plus
60,Intel Core i9 13900K,130,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900k
61,AMD Ryzen 5 9600X,130,6,12,3.9GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-5-9600x
62,Qualcomm Snapdragon X Elite (X1E-84-100),130,12,12,3.8GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite-x1e-84-100
63,AMD Ryzen 9 9955HX3D,130,16,32,2.5GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9955hx3d
64,AMD Ryzen AI Max Pro 380,130,6,12,3.6GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-pro-380
65,Intel Core Ultra 7 265F,130,20,20,2.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-7-265f
66,Intel Core Ultra 7 251HX,130,18,18,,2026.04,https://www.topcpu.net/cpu/intel-core-ultra-7-251hx
67,Intel Core Ultra X9 388H,130,16,16,2.1GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x9-388h
68,Intel Core i7 14700K,129,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700k
69,Intel Core i9 14900HX,129,24,32,2.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900hx
70,Intel Core Ultra 9 285H,129,16,16,2.9GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285h
