排名,名称,跑分,规格,上市时间,详情页
90,HiSilicon Kirin 990,3155,8C @ 2860MHz  - 2019.10,2019.10,https://www.topcpu.net/cpu/hisilicon-kirin-990
91,MediaTek Dimensity 1000 Plus,3152,8C @ 2600MHz  - 2020.05,2020.05,https://www.topcpu.net/cpu/mediatek-dimensity-1000-plus
92,Qualcomm Snapdragon 7s Gen 3,3146,8C @ 2500MHz  - 2024.08,2024.08,https://www.topcpu.net/cpu/qualcomm-snapdragon-7s-gen-3
93,MediaTek Dimensity 1000 Plus,3123,8C @ 2600MHz  - 2020.05,2020.05,https://www.topcpu.net/cpu/mediatek-dimensity-1000-plus
94,MediaTek Dimensity 7300,3025,8C @ 2500MHz  - 2024.06,2024.06,https://www.topcpu.net/cpu/mediatek-dimensity-7300
95,Qualcomm Snapdragon 6 Gen 4,3013,8C @ 2300MHz  - 2025.02,2025.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-6-gen-4
96,Qualcomm Snapdragon 778G Plus,3008,8C @ 2500MHz  - 2021.10,2021.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-778g-plus
97,Samsung Exynos 1080,2980,8C @ 2800MHz  - 2020.11,2020.11,https://www.topcpu.net/cpu/samsung-exynos-1080
98,HiSilicon Kirin 8000,2948,8C @ 2400MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/hisilicon-kirin-8000
99,Qualcomm Snapdragon 7s Gen 2,2943,8C @ 2400MHz  - 2023.09,2023.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-7s-gen-2
100,Qualcomm Snapdragon 6 Gen 3,2914,8C @ 2400MHz  - 2024.09,2024.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-6-gen-3
101,MediaTek Dimensity 7100,2892,8C @ 2400MHz  - 2026.01,2026.01,https://www.topcpu.net/cpu/mediatek-dimensity-7100
102,Qualcomm Snapdragon 855 Plus,2865,8C @ 2960MHz  - 2019.07,2019.07,https://www.topcpu.net/cpu/qualcomm-snapdragon-855-plus
103,Qualcomm Snapdragon 855,2855,8C @ 2840MHz  - 2018.12,2018.12,https://www.topcpu.net/cpu/qualcomm-snapdragon-855
104,Apple A12 Bionic,2843,6C @ 2490MHz  - 2018.09,2018.09,https://www.topcpu.net/cpu/apple-a12-bionic
105,Qualcomm Snapdragon 782G,2839,8C @ 2700MHz  - 2022.11,2022.11,https://www.topcpu.net/cpu/qualcomm-snapdragon-782g
106,MediaTek Dimensity 7360,2836,8C @ 2500MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/mediatek-dimensity-7360
107,Qualcomm Snapdragon 778G,2787,8C @ 2400MHz  - 2021.05,2021.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-778g
108,Qualcomm Snapdragon 7 Gen 1,2786,8C @ 2400MHz  - 2022.05,2022.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-7-gen-1
109,Samsung Exynos 1380,2785,8C @ 2400MHz  - 2023.02,2023.02,https://www.topcpu.net/cpu/samsung-exynos-1380
110,Qualcomm Snapdragon 6 Gen 1,2750,8C @ 2200MHz  - 2022.09,2022.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-6-gen-1
111,Qualcomm Snapdragon 780G,2743,8C @ 2400MHz  - 2021.03,2021.03,https://www.topcpu.net/cpu/qualcomm-snapdragon-780g
112,MediaTek Dimensity 7200 Ultra,2726,8C @ 2800MHz  - 2023.09,2023.09,https://www.topcpu.net/cpu/mediatek-dimensity-7200-ultra
113,Samsung Exynos 990,2672,8C @ 2730MHz  - 2019.10,2019.10,https://www.topcpu.net/cpu/samsung-exynos-990
114,MediaTek Dimensity 7200,2645,8C @ 2800MHz  - 2023.02,2023.02,https://www.topcpu.net/cpu/mediatek-dimensity-7200
115,MediaTek Dimensity 7350,2622,8C @ 3000MHz  - 2024.07,2024.07,https://www.topcpu.net/cpu/mediatek-dimensity-7350
116,Qualcomm Snapdragon 860,2569,8C @ 2960MHz  - 2019.04,2019.04,https://www.topcpu.net/cpu/qualcomm-snapdragon-860
117,MediaTek Dimensity 7030,2500,8C @ 2500MHz  - 2023.09,2023.09,https://www.topcpu.net/cpu/mediatek-dimensity-7030
118,MediaTek Dimensity 820,2494,8C @ 2600MHz  - 2020.05,2020.05,https://www.topcpu.net/cpu/mediatek-dimensity-820
119,Qualcomm Snapdragon 6s Gen 4,2479,8C @ 2400MHz  - 2025.10,2025.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-6s-gen-4
120,MediaTek Dimensity 7025,2472,8C @ 2500MHz  - 2024.04,2024.04,https://www.topcpu.net/cpu/mediatek-dimensity-7025
121,Unisoc T9100,2445,8C @ 2700MHz  - 2025.03,2025.03,https://www.topcpu.net/cpu/unisoc-t9100
122,MediaTek Dimensity 1050,2440,8C @ 2500MHz  - 2022.05,2022.05,https://www.topcpu.net/cpu/mediatek-dimensity-1050
123,MediaTek Dimensity 1080,2421,8C @ 2600MHz  - 2022.10,2022.10,https://www.topcpu.net/cpu/mediatek-dimensity-1080
124,HiSilicon Kirin 8000A,2420,8C @ 2200MHz  - 2026.03,2026.03,https://www.topcpu.net/cpu/hisilicon-kirin-8000a
125,MediaTek Dimensity 7060,2413,8C @ 2600MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/mediatek-dimensity-7060
126,Qualcomm Snapdragon 4 Gen 5,2410,8C @ 2400MHz  - 2026.05,2026.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-4-gen-5
127,Unisoc T760,2390,8C @ 2200MHz  - 2024.07,2024.07,https://www.topcpu.net/cpu/unisoc-t760
128,MediaTek Dimensity 7050,2364,8C @ 2600MHz  - 2023.05,2023.05,https://www.topcpu.net/cpu/mediatek-dimensity-7050
129,Apple A11 Bionic,2357,6C @ 2390MHz  - 2017.09,2017.09,https://www.topcpu.net/cpu/apple-a11-bionic
130,Samsung Exynos 9825,2356,8C @ 2730MHz  - 2019.08,2019.08,https://www.topcpu.net/cpu/samsung-exynos-9825
131,MediaTek Dimensity 930,2338,8C @ 2200MHz  - 2022.05,2022.05,https://www.topcpu.net/cpu/mediatek-dimensity-930
132,Samsung Exynos 9820,2333,8C @ 2730MHz  - 2018.11,2018.11,https://www.topcpu.net/cpu/samsung-exynos-9820
133,MediaTek Dimensity 920,2331,8C @ 2500MHz  - 2021.08,2021.08,https://www.topcpu.net/cpu/mediatek-dimensity-920
134,Unisoc T820,2301,8C @ 2700MHz  - 2022.11,2022.11,https://www.topcpu.net/cpu/unisoc-t820
135,MediaTek Dimensity 7020,2291,8C @ 2200MHz  - 2023.05,2023.05,https://www.topcpu.net/cpu/mediatek-dimensity-7020
136,MediaTek Dimensity 800,2276,8C @ 2000MHz  - 2019.12,2019.12,https://www.topcpu.net/cpu/mediatek-dimensity-800
137,MediaTek Dimensity 900,2240,8C @ 2400MHz  - 2021.05,2021.05,https://www.topcpu.net/cpu/mediatek-dimensity-900
138,Qualcomm Snapdragon 4 Gen 4,2210,8C @ 2300MHz  - 2025.12,2025.12,https://www.topcpu.net/cpu/qualcomm-snapdragon-4-gen-4
139,Unisoc T8300,2209,8C @ 2200MHz  - 2025.03,2025.03,https://www.topcpu.net/cpu/unisoc-t8300
140,Apple A10X Fusion,2201,6C @ 2380MHz  - 2017.06,2017.06,https://www.topcpu.net/cpu/apple-a10x-fusion
141,MediaTek Dimensity 6400,2159,8C @ 2500MHz  - 2025.02,2025.02,https://www.topcpu.net/cpu/mediatek-dimensity-6400
142,MediaTek Dimensity 6500,2143,8C @ 2600MHz  - 2026.04,2026.04,https://www.topcpu.net/cpu/mediatek-dimensity-6500
143,MediaTek Dimensity 6300,2135,8C @ 2400MHz  - 2024.04,2024.04,https://www.topcpu.net/cpu/mediatek-dimensity-6300
144,Qualcomm Snapdragon 695,2134,8C @ 2200MHz  - 2021.10,2021.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-695
145,HiSilicon Kirin 980,2128,8C @ 2600MHz  - 2018.08,2018.08,https://www.topcpu.net/cpu/hisilicon-kirin-980
146,Qualcomm Snapdragon 4 Gen 2,2128,8C @ 2200MHz  - 2023.06,2023.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-4-gen-2
147,Qualcomm Snapdragon 6s Gen 3,2115,8C @ 2300MHz  - 2024.06,2024.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-6s-gen-3
148,Qualcomm Snapdragon 750G,2099,8C @ 2200MHz  - 2020.09,2020.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-750g
149,MediaTek Helio G200,2080,8C @ 2200MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/mediatek-helio-g200
150,MediaTek Dimensity 6080,2077,8C @ 2400MHz  - 2023.06,2023.06,https://www.topcpu.net/cpu/mediatek-dimensity-6080
151,Qualcomm Snapdragon 845,2075,8C @ 2800MHz  - 2017.12,2017.12,https://www.topcpu.net/cpu/qualcomm-snapdragon-845
152,MediaTek Helio G100,2028,8C @ 2200MHz  - 2024.08,2024.08,https://www.topcpu.net/cpu/mediatek-helio-g100
153,Qualcomm Snapdragon 6s 4G Gen 2,2009,8C @ 2900MHz  - 2025.12,2025.12,https://www.topcpu.net/cpu/qualcomm-snapdragon-6s-4g-gen-2
154,MediaTek Helio G99,1994,8C @ 2200MHz  - 2022.05,2022.05,https://www.topcpu.net/cpu/mediatek-helio-g99
155,HiSilicon Kirin 810,1992,8C @ 2270MHz  - 2019.06,2019.06,https://www.topcpu.net/cpu/hisilicon-kirin-810
156,MediaTek Dimensity 6360,1966,8C @ 2400MHz  - 2026.04,2026.04,https://www.topcpu.net/cpu/mediatek-dimensity-6360
157,MediaTek Dimensity 6100 Plus,1965,8C @ 2200MHz  - 2023.07,2023.07,https://www.topcpu.net/cpu/mediatek-dimensity-6100-plus
158,MediaTek Dimensity 810,1945,8C @ 2400MHz  - 2021.08,2021.08,https://www.topcpu.net/cpu/mediatek-dimensity-810
159,MediaTek Dimensity 6020,1941,8C @ 2200MHz  - 2023.03,2023.03,https://www.topcpu.net/cpu/mediatek-dimensity-6020
160,Samsung Exynos 1280,1927,8C @ 2400MHz  - 2022.03,2022.03,https://www.topcpu.net/cpu/samsung-exynos-1280
161,Qualcomm Snapdragon 4s Gen 2,1910,8C @ 2000MHz  - 2024.07,2024.07,https://www.topcpu.net/cpu/qualcomm-snapdragon-4s-gen-2
162,Qualcomm Snapdragon 690,1900,8C @ 2000MHz  - 2020.06,2020.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-690
163,Samsung Exynos 1330,1900,8C @ 2400MHz  - 2023.02,2023.02,https://www.topcpu.net/cpu/samsung-exynos-1330
164,Qualcomm Snapdragon 4 Gen 1,1888,8C @ 2000MHz  - 2022.10,2022.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-4-gen-1
165,Samsung Exynos 980,1867,8C @ 2200MHz  - 2019.09,2019.09,https://www.topcpu.net/cpu/samsung-exynos-980
166,Qualcomm Snapdragon 765G,1861,8C @ 2400MHz  - 2019.12,2019.12,https://www.topcpu.net/cpu/qualcomm-snapdragon-765g
167,MediaTek Dimensity 720,1861,8C @ 2000MHz  - 2020.07,2020.07,https://www.topcpu.net/cpu/mediatek-dimensity-720
168,MediaTek Helio G96,1860,8C @ 2050MHz  - 2021.06,2021.06,https://www.topcpu.net/cpu/mediatek-helio-g96
169,Qualcomm Snapdragon 480 Plus,1859,8C @ 2200MHz  - 2021.10,2021.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-480-plus
170,MediaTek Helio G90T,1850,8C @ 2050MHz  - 2019.07,2019.07,https://www.topcpu.net/cpu/mediatek-helio-g90t
171,Qualcomm Snapdragon 732G,1847,8C @ 2300MHz  - 2020.08,2020.08,https://www.topcpu.net/cpu/qualcomm-snapdragon-732g
172,Samsung Exynos 9810,1847,8C @ 2900MHz  - 2018.01,2018.01,https://www.topcpu.net/cpu/samsung-exynos-9810
173,MediaTek Dimensity 800U,1837,8C @ 2400MHz  - 2020.08,2020.08,https://www.topcpu.net/cpu/mediatek-dimensity-800u
174,Qualcomm Snapdragon 730G,1826,8C @ 2200MHz  - 2019.04,2019.04,https://www.topcpu.net/cpu/qualcomm-snapdragon-730g
