排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
44,AMD Ryzen 7 9800X3D,4435,8,16,4.7GHz,2024.11,https://www.topcpu.net/cpu/amd-ryzen-7-9800x3d
45,Apple M3 Pro,4401,12,12,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3-pro
46,AMD Ryzen 9 9955HX,4384,16,32,2.5GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9955hx
47,Intel Core i9 14900HX,4375,24,32,2.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900hx
48,Intel Core i7 13700K,4370,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700k
49,Intel Core Ultra X9 388H,4365,16,16,2.1GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x9-388h
50,Intel Core i7 14700F,4363,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700f
51,Intel Core i7 13700KF,4362,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700kf
52,Intel Core i9 12900KS,4357,16,24,3.4GHz,2022.04,https://www.topcpu.net/cpu/intel-core-i9-12900ks
53,Intel Core i9 13900,4339,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900
54,Intel Core i9 13980HX,4319,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13980hx
55,Intel Core 7 250H,4318,14,20,2.5GHz,2024.12,https://www.topcpu.net/cpu/intel-core-7-250h
56,AMD Ryzen 9 7900X,4317,12,24,4.7GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-9-7900x
57,Intel Core i5 14600KF,4306,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600kf
58,Intel Core Ultra 9 288V,4301,8,8,3.3GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-9-288v
59,Intel Core i5 14600K,4299,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600k
60,AMD Ryzen 9 7950X,4286,16,32,4.5GHz,2022.08,https://www.topcpu.net/cpu/amd-ryzen-9-7950x
61,AMD Ryzen 7 7700X,4263,8,16,4.5GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-7-7700x
62,AMD Ryzen 5 7600X,4211,6,12,4.7GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-5-7600x
63,Intel Core i9 12900K,4173,16,24,"3,2GHz",2021.10,https://www.topcpu.net/cpu/intel-core-i9-12900k
64,Intel Core Ultra 7 356H,4168,16,16,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-7-356h
65,Intel Core i9 12900KF,4167,16,24,3.2GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i9-12900kf
66,Intel Core i5 13600K,4162,14,20,3.5GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i5-13600k
67,Intel Core i9 13900HX,4154,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900hx
68,Apple M2 Max,4149,12,12,3.5GHz,2023.01,https://www.topcpu.net/cpu/apple-m2-max
69,AMD Ryzen 9 7900,4149,12,24,3.7GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900
70,Intel Core i5 13600KF,4148,14,20,3.5GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i5-13600kf
71,AMD Ryzen 9 7950X3D,4145,16,32,4.2GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7950x3d
72,Intel Core i7 13700,4143,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700
73,Intel Core i7 13700F,4143,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700f
74,Apple M2 Ultra,4137,24,24,3.5GHz,2023.05,https://www.topcpu.net/cpu/apple-m2-ultra
75,Intel Core i7 14700,4126,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700
76,AMD Ryzen AI Max+ 395,4123,16,32,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-395
77,Intel Core 9 270H,4121,14,20,2.7GHz,2024.12,https://www.topcpu.net/cpu/intel-core-9-270h
