排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
41,AMD Ryzen 9 7945HX3D,1771,16,32,2.3GHz,2023.08,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx3d
42,Intel Core Ultra 9 275HX,1768,24,24,2.7GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-275hx
43,AMD Ryzen 9 9900X,1764,12,24,4.4GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9900x
44,AMD Ryzen AI Max+ 395,1764,16,32,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-395
45,Intel Core Ultra 7 251HX,1762,18,18,,2026.04,https://www.topcpu.net/cpu/intel-core-ultra-7-251hx
46,AMD Ryzen AI Max+ Pro 395,1757,16,32,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-pro-395
47,Apple M4 Max 14 Core,1742,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-14-core
48,Intel Core i9 14900HX,1737,24,32,2.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900hx
49,Apple M5 Pro (18-Core),1732,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-pro-18-core
50,AMD Ryzen AI Max 390,1731,12,24,3.2GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-390
51,Apple M4 Pro 14 Core,1730,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-pro-14-core
52,AMD Ryzen 9 8945HX,1719,16,32,2.5GHz,2025.04,https://www.topcpu.net/cpu/amd-ryzen-9-8945hx
53,Qualcomm Snapdragon X2 Elite Extreme (X2E-94-100),1692,18,18,3.6GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-extreme-x2e-94-100
54,Intel Core Ultra 5 250KF Plus,1689,18,18,4.2GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-5-250kf-plus
55,AMD Ryzen AI Max 385,1688,8,16,3.6GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-385
56,Intel Core Ultra 7 270HX Plus,1687,20,20,2.4GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-7-270hx-plus
57,Apple M3 Max,1683,16,16,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3-max
58,Intel Core Ultra 5 250K Plus,1680,18,18,4.2GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-5-250k-plus
59,Intel Core Ultra 7 265HX,1678,20,20,2.6GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-265hx
60,Intel Core i9 13900HX,1672,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900hx
