排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
1,Intel Xeon 678X,34711,48,96,2.4GHz,2026.02,https://www.topcpu.net/cpu/intel-xeon-678x
2,Intel Xeon 698X,34632,86,172,2GHz,2026.02,https://www.topcpu.net/cpu/intel-xeon-698x
3,Intel Xeon 696X,34549,64,128,2.4GHz,2026.02,https://www.topcpu.net/cpu/intel-xeon-696x
4,AMD Ryzen Threadripper PRO 9985WX,33523,64,128,3.2GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9985wx
5,Apple M4 Ultra,32898,32,32,4.52GHz,2025.05,https://www.topcpu.net/cpu/apple-m4-ultra
6,Apple M5 Max (40-core GPU),30196,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-40-core-gpu
7,AMD Ryzen Threadripper PRO 9995WX,30170,96,192,2.5GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9995wx
8,AMD Ryzen Threadripper PRO 9975WX,29802,32,64,4GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9975wx
9,Intel Xeon 658X,29732,24,48,3GHz,2026.02,https://www.topcpu.net/cpu/intel-xeon-658x
10,AMD Ryzen Threadripper 9980X,29482,64,128,3.2GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-9980x
11,Apple M5 Max (32-core GPU),29052,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-32-core-gpu
12,AMD Ryzen Threadripper 7960X,28707,24,48,4.2GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-7960x
13,AMD EPYC 9655P,28414,96,192,2.6GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9655p
14,Apple M3 Ultra,28104,32,32,4.05GHz,2025.03,https://www.topcpu.net/cpu/apple-m3-ultra
15,AMD Ryzen Threadripper 9970X,28082,32,64,4GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-9970x
16,Intel Core Ultra 7 270K Plus,27401,24,24,3.7GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-7-270k-plus
17,AMD Ryzen Threadripper PRO 9965WX,27258,24,48,4.2GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9965wx
18,AMD Ryzen Threadripper 7980X,26811,64,128,3.2GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-7980x
19,Apple M4 Max 16 Core,26185,16,16,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-16-core
20,AMD EPYC 9375F,25593,32,64,3.85GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9375f
21,AMD Ryzen Threadripper 7970X,25488,32,64,4GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-7970x
22,AMD Ryzen Threadripper PRO 7995WX,25395,96,192,2.5GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-7995wx
23,AMD Threadripper PRO 7985WX,24780,64,128,3.2GHz,2023.10,https://www.topcpu.net/cpu/amd-threadripper-pro-7985wx
24,AMD Ryzen Threadripper 9960X,24770,24,48,4.2GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-9960x
25,Apple M5 Pro (18-Core),24687,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-pro-18-core
26,AMD Ryzen 9 9950X3D2,24343,16,32,4.3GHz,2026.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d2
27,Intel Core i9 14900KS,24033,24,32,3.2GHz,2024.03,https://www.topcpu.net/cpu/intel-core-i9-14900ks
28,AMD Threadripper PRO 7965WX,23936,24,48,4.2GHz,2023.10,https://www.topcpu.net/cpu/amd-threadripper-pro-7965wx
29,AMD EPYC 9335,23858,32,64,3GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9335
30,AMD EPYC 9474F,23699,48,96,3.6GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9474f
31,AMD EPYC 9275F,23682,24,48,4.1GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9275f
32,AMD EPYC 9745,23581,128,256,2.4GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9745
33,Apple M5 Pro (15-Core),23517,15,15,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-pro-15-core
34,Apple M4 Max 14 Core,23252,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-14-core
35,Intel Core Ultra 9 290K Plus,23196,24,24,3.7GHz,0001.01,https://www.topcpu.net/cpu/intel-core-ultra-9-290k-plus
36,Intel Core Ultra 9 285K,23087,24,24,3.7GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-9-285k
37,Qualcomm Snapdragon X2 Elite Extreme (X2E 96 100),23081,18,18,3.0GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-extreme-x2e-96-100
38,AMD Ryzen Threadripper PRO 9955WX,23062,16,32,4.5GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9955wx
39,AMD EPYC 9274F,23051,24,48,4.05GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9274f
40,AMD Ryzen AI Max+ Pro 395,22929,16,32,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-pro-395
41,AMD EPYC 9654P,22897,96,192,2.4GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9654p
42,AMD EPYC Embedded 9654P,22897,96,192,2.4GHz,2023.03,https://www.topcpu.net/cpu/amd-epyc-embedded-9654p
43,Intel Core i9 13900KS,22794,24,32,3.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900ks
44,Qualcomm Snapdragon X2 Elite Extreme (X2E-94-100),22784,18,18,3.6GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-extreme-x2e-94-100
45,Intel Xeon w9-3475X,22757,36,72,2.2GHz,2023.02,https://www.topcpu.net/cpu/intel-xeon-w9-3475x
46,AMD EPYC 9535,22642,64,128,2.4GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9535
47,Intel Core i9 14900K,22637,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900k
48,Apple M4 Pro 14 Core,22630,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-pro-14-core
