排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
1,Apple M3 Max,9964,16,16,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3-max
2,Apple M2 Ultra,8668,24,24,3.5GHz,2023.05,https://www.topcpu.net/cpu/apple-m2-ultra
3,Apple M1 Ultra,6631,20,20,3.2GHz,2022.03,https://www.topcpu.net/cpu/apple-m1-ultra
4,Apple M2 Max,5851,12,12,3.5GHz,2023.01,https://www.topcpu.net/cpu/apple-m2-max
5,Apple M1 Max,4425,10,10,3.2GHz,2021.10,https://www.topcpu.net/cpu/apple-m1-max
6,Apple M3,3014,8,8,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3
7,Apple M2,1775,8,8,3.5GHz,2022.06,https://www.topcpu.net/cpu/apple-m2
