排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
1,AMD EPYC 9655P,30117,96,192,2.6GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9655p
2,AMD EPYC 9655,30117,96,192,2.6GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9655
3,AMD Ryzen Threadripper PRO 7995WX,30020,96,192,2.5GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-7995wx
4,AMD Ryzen Threadripper 7970X,14236,32,64,4GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-7970x
5,AMD EPYC 9355P,13745,32,64,3.55GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9355p
6,AMD EPYC 9355,13745,32,64,3.55GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9355
7,Intel Xeon w7-2595X,13614,26,52,2.8GHz,2024.08,https://www.topcpu.net/cpu/xeon-w7-2595x
8,AMD Ryzen Threadripper 9960X,12881,24,48,4.2GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-9960x
9,AMD Ryzen 9 9950X3D,10343,16,32,4.3GHz,2025.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d
10,Intel Xeon W-3175X,10315,28,56,3.1GHz,2019.01,https://www.topcpu.net/cpu/intel-xeon-w-3175x
11,Intel Core Ultra 7 270K Plus,10063,24,24,3.7GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-7-270k-plus
12,Intel Core i9 13900KS,9875,24,32,3.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900ks
13,Intel Core i9 14900K,9758,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900k
14,Intel Core i9 14900KF,9758,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900kf
15,AMD Ryzen 9 9950X,9625,16,32,4.3GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9950x
16,Intel Core i9 14900KS,9550,24,32,3.2GHz,2024.03,https://www.topcpu.net/cpu/intel-core-i9-14900ks
17,Intel Core Ultra 9 285K,9312,24,24,3.7GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-9-285k
18,AMD Ryzen 9 9950X3D2,9246,16,32,4.3GHz,2026.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d2
19,Intel Core i9 13900K,9211,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900k
20,Intel Core i9 13900KF,9211,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900kf
