排名,名称,跑分,规格,上市时间,详情页
184,TP-LINK TL-XDR3020,2720,PXB4395 2C @ 800 MHz 128MiB  - 2019.10,2019.10,https://www.topcpu.net/cpu/tplink-tl-xdr3020
185,TP-LINK Archer AX50,2720,GRX350A3 2C @ 800 MHz 256MiB,,https://www.topcpu.net/cpu/tplink-archer-ax50
186,ASUS RT-AX54,2560,MT7621AT 2C @ 800 MHz 256MiB,,https://www.topcpu.net/cpu/asus-rt-ax54
187,TP-LINK Archer A8,2280,TP1900BN 1C @ 1.2 GHz 64MiB,,https://www.topcpu.net/cpu/tplink-archer-a8
188,ASUS RT-AC1200+,1710,BCM47189 1C @ 900 MHz 128MiB,,https://www.topcpu.net/cpu/asus-rt-ac1200-plus
189,ASUS RT-AC1200G,1710,BCM47189 1C @ 900 MHz 128MiB,,https://www.topcpu.net/cpu/asus-rt-ac1200g
190,ASUS RT-AC1200GP,1710,BCM47189 1C @ 900 MHz 128MiB  - 2016.01,2016.01,https://www.topcpu.net/cpu/asus-rt-ac1200gp
191,H3C Magic NX15,1600,RTL8197 1C @ 1.0 GHz 128MiB  - 2022.08,2022.08,https://www.topcpu.net/cpu/h3c-magic-nx15
192,Xiaomi Mi Router AIoT AC2350 (R2350),1496,QCA9563 1C @ 775 MHz 128MiB  - 2020.03,2020.03,https://www.topcpu.net/cpu/xiaomi-router-aiot-ac2350
193,TP-LINK Archer A9 v6.x,1496,QCN5502 1C @ 775 MHz 128MiB  - 2019.03,2019.03,https://www.topcpu.net/cpu/tplink-archer-a9-v6
194,ASUS RT-AC1200GE,1496,QCN5502 1C @ 775 MHz 128MiB,,https://www.topcpu.net/cpu/asus-rt-ac1200ge
195,TP-LINK Archer A6 v2.x,1448,QCA9563 1C @ 750 MHz 128MiB  - 2019.03,2019.03,https://www.topcpu.net/cpu/tplink-archer-a6-v2
196,TP-LINK Archer A7 v5.x,1448,QCA9563 1C @ 750 MHz 128MiB  - 2018.06,2018.06,https://www.topcpu.net/cpu/tplink-archer-a7-v5
197,ASUS RT-AC1750,1158,BCM4706 1C @ 600 MHz 256MiB  - 2012.06,2012.06,https://www.topcpu.net/cpu/asus-rt-ac1750
198,ASUS RT-AC53,928,MT7620A 1C @ 580 MHz 64MiB  - 2016.08,2016.08,https://www.topcpu.net/cpu/asus-rt-ac53
199,ASUS RT-AC1200 v1,928,MT7628AN 1C @ 580 MHz 64MiB,,https://www.topcpu.net/cpu/asus-rt-ac1200-v1
200,ASUS RT-AC1200 v2,928,MT7628DAN 1C @ 580 MHz 64MiB,,https://www.topcpu.net/cpu/asus-rt-ac1200-v2
201,ASUS RT-AC1200HP,928,MT7620A 1C @ 580 MHz 128MiB,,https://www.topcpu.net/cpu/asus-rt-ac1200hp
202,TP-LINK Archer A5 v4.x,920,MT7628A 1C @ 575 MHz,,https://www.topcpu.net/cpu/tplink-archer-a5-v4
203,TP-LINK Archer A5 v5.x,920,MT7628A 1C @ 575 MHz 64MiB,,https://www.topcpu.net/cpu/tplink-archer-a5-v5
