排名,名称,Cinebench_R23_多核跑分,核心数,线程数,频率,上市时间,详情页
22,Intel Core Ultra 9 285HX,38999,24,24,2.8GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285hx
23,AMD Ryzen 9 7950X3D,38581,16,32,4.2GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7950x3d
24,Intel Core Ultra 9 290HX Plus,38581,24,24,2.7GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-9-290hx-plus
25,AMD Ryzen 9 9950X3D2,38579,16,32,4.3GHz,2026.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d2
26,Intel Core i9 14900K,38497,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900k
27,Intel Core i9 14900KF,38497,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900kf
28,AMD Ryzen 9 7950X,38165,16,32,4.5GHz,2022.08,https://www.topcpu.net/cpu/amd-ryzen-9-7950x
29,Intel Core Ultra 7 265KF,37273,20,20,3.9GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-7-265kf
30,Intel Core i9 13900K,37263,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900k
31,Intel Core i9 13900KF,37263,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900kf
32,AMD Ryzen 9 9955HX3D,37246,16,32,2.5GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9955hx3d
33,AMD EPYC 7502P,36403,32,64,2.5GHz,2019.08,https://www.topcpu.net/cpu/amd-epyc-7502p
34,Intel Core Ultra 7 265K,36296,20,20,3.9GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-7-265k
35,AMD Ryzen 9 9955HX,35887,16,32,2.5GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9955hx
36,Intel Core i9 13900,35774,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900
37,Intel Core i9 13900F,35774,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900f
38,Intel Core i9 14900F,35220,24,32,2.0GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900f
39,AMD Ryzen AI Max+ Pro 395,35071,16,32,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-pro-395
40,AMD Ryzen 9 8945HX,34973,16,32,2.5GHz,2025.04,https://www.topcpu.net/cpu/amd-ryzen-9-8945hx
41,AMD Ryzen Threadripper 3960X,34932,24,48,3.8GHz,2019.11,https://www.topcpu.net/cpu/amd-ryzen-threadripper-3960x
42,Intel Core i9 14900,34901,24,32,2.0GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900
43,Intel Core i7 14700K,34805,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700k
44,Intel Core i7 14700KF,34805,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700kf
45,AMD Ryzen 9 9900X3D,34524,12,24,4.4GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9900x3d
46,AMD Ryzen AI Max+ 395,33943,16,32,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-395
