排名,名称,跑分,规格,上市时间,详情页
219,MediaTek Helio G37,160199,8C @ 2300MHz  - 2020.06,2020.06,https://www.topcpu.net/cpu/mediatek-helio-g37
220,Samsung Exynos 7880,157663,8C @ 1900MHz  - 2017.01,2017.01,https://www.topcpu.net/cpu/samsung-exynos-7880
221,MediaTek Helio G25,157365,8C @ 2000MHz  - 2020.06,2020.06,https://www.topcpu.net/cpu/mediatek-helio-g25
222,Unisoc SC9863A,156960,8C @ 1600MHz  - 2018.11,2018.11,https://www.topcpu.net/cpu/unisoc-sc9863a
223,Qualcomm Snapdragon 625,156131,8C @ 2000MHz  - 2016.02,2016.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-625
224,MediaTek Helio G36,154460,8C @ 2200MHz  - 2022.02,2022.02,https://www.topcpu.net/cpu/mediatek-helio-g36
225,Qualcomm Snapdragon 450,153310,8C @ 1800MHz  - 2017.06,2017.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-450
226,MediaTek Helio P22,150462,8C @ 2000MHz  - 2018.05,2018.05,https://www.topcpu.net/cpu/mediatek-helio-p22
227,MediaTek Helio G50,149247,8C @ 2200MHz  - 2025.02,2025.02,https://www.topcpu.net/cpu/mediatek-helio-g50
228,Samsung Exynos 7870,146176,8C @ 1600MHz  - 2016.02,2016.02,https://www.topcpu.net/cpu/samsung-exynos-7870
229,MediaTek Helio P35,144853,8C @ 2300MHz  - 2018.12,2018.12,https://www.topcpu.net/cpu/mediatek-helio-p35
230,Samsung Exynos 7904,141645,8C @ 1800MHz  - 2019.02,2019.02,https://www.topcpu.net/cpu/samsung-exynos-7904
231,MediaTek Helio G35,140781,8C @ 2300MHz  - 2020.06,2020.06,https://www.topcpu.net/cpu/mediatek-helio-g35
232,Qualcomm Snapdragon 425,136588,4C @ 1400MHz  - 2016.02,2016.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-425
233,Samsung Exynos 7570,135981,4C @ 1400MHz  - 2016.08,2016.08,https://www.topcpu.net/cpu/samsung-exynos-7570
234,Qualcomm Snapdragon 430,135324,8C @ 1400MHz  - 2015.09,2015.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-430
235,MediaTek Helio A25,133726,8C @ 1800MHz  - 2018.06,2018.06,https://www.topcpu.net/cpu/mediatek-helio-a25
236,Qualcomm Snapdragon 801,126118,4C @ 2500MHz  - 2014.02,2014.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-801
237,MediaTek Helio A22,110384,4C @ 2000MHz  - 2018.06,2018.06,https://www.topcpu.net/cpu/mediatek-helio-a22
238,HiSilicon Kirin 659,103952,8C @ 2360MHz  - 2017.01,2017.01,https://www.topcpu.net/cpu/hisilicon-kirin-659
239,MediaTek MT6739,59755,4C @ 1500MHz  - 2017.09,2017.09,https://www.topcpu.net/cpu/mediatek-mt6739
240,HiSilicon Kirin 990 5G,0,8C @ 2860MHz  - 2019.10,2019.10,https://www.topcpu.net/cpu/hisilicon-kirin-990-5g
241,HiSilicon Kirin 990,0,8C @ 2860MHz  - 2019.10,2019.10,https://www.topcpu.net/cpu/hisilicon-kirin-990
242,Apple M2 iPad,0,8C @ 3490MHz  - 2022.06,2022.06,https://www.topcpu.net/cpu/apple-m2-ipad
243,Apple M1 iPad,0,8C @ 3200MHz  - 2020.11,2020.11,https://www.topcpu.net/cpu/apple-m1-ipad
244,Apple M4 iPad,0,9C @ 4400MHz  - 2024.05,2024.05,https://www.topcpu.net/cpu/apple-m4-ipad
245,Qualcomm Snapdragon 8 Elite,0,8C @ 4320MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-elite
