排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
498,Intel Core i7 10870H,1221,8,16,2.2GHz,2020.09,https://www.topcpu.net/cpu/intel-core-i7-10870h
499,AMD Ryzen 5 4600G,1217,6,12,3.7GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-5-4600g
500,AMD Ryzen 7 4700U,1216,8,8,2.0GHz,2020.01,https://www.topcpu.net/cpu/amd-ryzen-7-4700u
501,Intel Core i7 8700K,1215,6,12,3.7GHz,2017.10,https://www.topcpu.net/cpu/intel-core-i7-8700k
502,Intel Core i7 8700,1211,6,12,3.2GHz,2017.10,https://www.topcpu.net/cpu/intel-core-i7-8700
503,AMD Ryzen 5 4500,1210,6,12,3.6GHz,2022.04,https://www.topcpu.net/cpu/amd-ryzen-5-4500
504,Intel Core i7 7700K,1209,4,8,4.2GHz,2017.01,https://www.topcpu.net/cpu/intel-core-i7-7700k
505,AMD Ryzen 3 4300GE,1205,4,8,3.5GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-3-4300ge
506,Intel Core i9 9900T,1204,8,16,2.1GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i9-9900t
507,Intel Core i3 8350K,1203,4,4,4.0GHz,2017.10,https://www.topcpu.net/cpu/intel-core-i3-8350k
508,Intel Core i9 7900X,1203,10,20,3.3GHz,2017.05,https://www.topcpu.net/cpu/intel-core-i9-7900x
509,Intel Core i5 8600K,1201,6,6,3.6GHz,2017.10,https://www.topcpu.net/cpu/intel-core-i5-8600k
510,Intel Core i7 10510U,1197,4,8,1.8GHz,2019.08,https://www.topcpu.net/cpu/intel-core-i7-10510u
511,Intel Core i7 10610U,1197,4,8,0.8-2.3GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i7-10610u
512,Intel Core i7 10850H,1190,6,12,2.7GHz,2020.04,https://www.topcpu.net/cpu/intel-core-i7-10850h
513,Intel Core i7 9700,1190,8,8,3.0GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i7-9700
514,Intel Core i9 8950HK,1190,6,12,2.9GHz,2018.04,https://www.topcpu.net/cpu/intel-core-i9-8950hk
515,Intel Core i5 9600K,1185,6,6,3.7GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i5-9600k
516,Intel Core i7 9850H,1184,6,12,2.6GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i7-9850h
517,Intel Core i9 9900X,1182,10,20,3.5GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9900x
518,Intel Core i9 9980HK,1182,8,16,2.4GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i9-9980hk
519,AMD Ryzen Threadripper 2920X,1180,12,24,3.5GHz,2018.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2920x
520,Intel Core i7 8557U,1180,4,8,1.7GHz,2019.07,https://www.topcpu.net/cpu/intel-core-i7-8557u
521,AMD Ryzen 5 5500U,1168,6,12,2.1GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-5-5500u
522,Intel Core i7 10750H,1168,6,12,2.6GHz,2020.04,https://www.topcpu.net/cpu/intel-core-i7-10750h
523,Intel Core i7 1160G7,1168,4,8,0.9-2.1GHz,2020.09,https://www.topcpu.net/cpu/intel-core-i7-1160g7
524,AMD Ryzen 5 7520U,1168,4,8,2.8GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-5-7520u
525,Intel Core i3 10105F,1167,4,8,3.7GHz,2021.02,https://www.topcpu.net/cpu/intel-core-i3-10105f
526,Intel Core i5 7600K,1166,4,4,3.8GHz,2017.01,https://www.topcpu.net/cpu/intel-core-i5-7600k
527,AMD Ryzen 5 3500X,1166,6,6,3.6GHz,2019.09,https://www.topcpu.net/cpu/amd-ryzen-5-3500x
528,Intel Core i7 9700F,1162,8,8,3.0GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i7-9700f
529,AMD Ryzen Threadripper 2970WX,1159,24,48,3.0GHz,2018.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2970wx
530,Intel Core i5 8365U,1158,4,8,1.6GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i5-8365u
531,Intel Core i5 1035G7,1154,4,8,1.2GHz,2019.08,https://www.topcpu.net/cpu/intel-core-i5-1035g7
532,Intel Core i7 10810U,1154,6,12,0.8-1.6GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i7-10810u
533,Intel Core i5 10500H,1152,6,12,2.5GHz,2020.04,https://www.topcpu.net/cpu/intel-core-i5-10500h
534,AMD Ryzen 3 Pro 4350G,1151,4,8,3.8GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-3-pro-4350g
535,AMD Ryzen 3 Pro 4350GE,1151,4,8,3.5GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-3-pro-4350ge
536,AMD Ryzen 5 4600HS,1151,6,12,3.0GHz,2020.01,https://www.topcpu.net/cpu/amd-ryzen-5-4600hs
537,AMD Ryzen 5 4600U,1151,6,12,2.1GHz,2020.01,https://www.topcpu.net/cpu/amd-ryzen-5-4600u
538,Intel Core i7 6900K,1151,8,16,3.2GHz,2016.05,https://www.topcpu.net/cpu/intel-core-i7-6900k
539,Qualcomm Snapdragon X Plus X1P 46 100,1150,8,8,3.4GHz,2024.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-plus-x1p-46-100
540,Intel Core i7 1065G7,1147,4,8,1.3GHz,2019.08,https://www.topcpu.net/cpu/intel-core-i7-1065g7
541,AMD Ryzen 5 4600H,1146,6,12,3.0GHz,2020.01,https://www.topcpu.net/cpu/amd-ryzen-5-4600h
542,AMD Ryzen 3 4100,1146,4,8,3.8GHz,2022.04,https://www.topcpu.net/cpu/amd-ryzen-3-4100
543,Intel Core i9 10900X,1145,10,20,3.7GHz,2019.10,https://www.topcpu.net/cpu/intel-core-i9-10900x
544,Intel Core i3 1125G4,1144,4,8,0.9-2.0GHz,2020.09,https://www.topcpu.net/cpu/intel-core-i3-1125g4
545,AMD Ryzen 5 4500U,1141,6,6,2.3GHz,2020.01,https://www.topcpu.net/cpu/amd-ryzen-5-4500u
546,Intel Core i5 9300HF,1141,4,8,2.4GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i5-9300hf
547,Intel Core i9 9880H,1136,8,16,2.3GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i9-9880h
548,AMD Ryzen Threadripper 2950X,1135,16,32,3.5GHz,2018.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2950x
549,Intel Core i3 10100,1133,4,8,3.6GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i3-10100
550,Intel Core i3 10100F,1133,4,8,3.6GHz,2020.10,https://www.topcpu.net/cpu/intel-core-i3-10100f
551,Intel Core i7 6700K,1129,4,8,4.0GHz,2015.08,https://www.topcpu.net/cpu/intel-core-i7-6700k
552,Intel Core i5 9500,1128,6,6,3.0GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i5-9500
553,Intel Core i5 10400,1126,6,12,2.9GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i5-10400
554,Intel Core i5 10600T,1122,6,12,2.4GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i5-10600t
555,Intel Core i5 9300H,1122,4,8,2.4GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i5-9300h
556,AMD Ryzen 3 3100,1119,4,8,3.6GHz,2020.04,https://www.topcpu.net/cpu/amd-ryzen-3-3100
557,Qualcomm Snapdragon X Plus (X1P-42-100),1117,8,8,3.2GHz,2024.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-plus-x1p-42-100
558,Intel Core i5 10300H,1116,4,8,2.5GHz,2020.04,https://www.topcpu.net/cpu/intel-core-i5-10300h
559,Intel Core i7 1060G7,1116,4,8,1.0GHz,2019.08,https://www.topcpu.net/cpu/intel-core-i7-1060g7
560,Intel Core i7 1060NG7,1116,4,8,1.2GHz,2020.03,https://www.topcpu.net/cpu/intel-core-i7-1060ng7
561,Intel Core i7 7700T,1116,4,8,2.9GHz,2017.01,https://www.topcpu.net/cpu/intel-core-i7-7700t
562,Intel Core i7 8705G,1116,4,8,3.1GHz,2018.01,https://www.topcpu.net/cpu/intel-core-i7-8705g
563,Intel Core i5 1038NG7,1114,4,8,2.0GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i5-1038ng7
564,Intel Core i9 9980XE,1114,18,36,3.0GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9980xe
565,AMD Ryzen 3 5300U,1110,4,8,2.6GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-3-5300u
566,Intel Core i7 8569U,1110,4,8,2.8GHz,2019.05,https://www.topcpu.net/cpu/intel-core-i7-8569u
567,AMD Ryzen 3 7320U,1109,4,8,2.4GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-3-7320u
568,Intel Core i7 9750H,1103,6,12,2.6GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i7-9750h
569,Intel Xeon W-3175X,1103,28,56,3.1GHz,2019.01,https://www.topcpu.net/cpu/intel-xeon-w-3175x
570,AMD Ryzen 7 2700X,1102,8,16,3.7GHz,2018.04,https://www.topcpu.net/cpu/amd-ryzen-7-2700x
571,Intel Core i5 10400F,1101,6,12,2.9GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i5-10400f
572,Intel Core i3 1005G1,1099,2,4,1.2GHz,2019.08,https://www.topcpu.net/cpu/intel-core-i3-1005g1
573,Intel Core i9 7960X,1099,16,32,2.8GHz,2017.09,https://www.topcpu.net/cpu/intel-core-i9-7960x
574,Intel Core i5 1035G4,1091,4,8,1.1GHz,2019.08,https://www.topcpu.net/cpu/intel-core-i5-1035g4
575,Intel Core i7 8750H,1090,6,12,2.2GHz,2018.04,https://www.topcpu.net/cpu/intel-core-i7-8750h
576,Intel Core i7 7700,1089,4,8,3.6GHz,2017.01,https://www.topcpu.net/cpu/intel-core-i7-7700
577,AMD Ryzen 5 2600X,1088,6,12,3.6GHz,2018.04,https://www.topcpu.net/cpu/amd-ryzen-5-2600x
578,Intel Core i5 10200H,1086,4,8,2.4GHz,2020.09,https://www.topcpu.net/cpu/intel-core-i5-10200h
579,Intel Core i5 8279U,1085,4,8,2.4GHz,2019.05,https://www.topcpu.net/cpu/intel-core-i5-8279u
580,Intel Core i7 8565U,1082,4,8,1.8GHz,2018.08,https://www.topcpu.net/cpu/intel-core-i7-8565u
581,Intel Core i5 10500,1078,6,12,3.1GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i5-10500
582,Intel Core i9 9960X,1075,16,32,3.1GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9960x
583,Intel Core i5 1035G1,1073,4,8,1.0GHz,2019.08,https://www.topcpu.net/cpu/intel-core-i5-1035g1
584,Intel Core i3 10100T,1072,4,8,3.0GHz,2020.04,https://www.topcpu.net/cpu/intel-core-i3-10100t
