排名,名称,跑分,显存容量,显存类型,上市时间,详情页
47,NVIDIA A100 PCIe 80 GB,310,80GB,HBM2e,2021.06,https://www.topcpu.net/cpu/a100-pcie-80-gb
48,NVIDIA RTX A5000 Mobile,305,16GB,GDDR6,2021.04,https://www.topcpu.net/cpu/rtx-a5000-mobile
49,NVIDIA RTX A4000 Mobile,300,8GB,GDDR6,2021.04,https://www.topcpu.net/cpu/rtx-a4000-mobile
50,NVIDIA RTX 2000 Ada Generation,295,16GB,GDDR6,2024.02,https://www.topcpu.net/cpu/rtx-2000-ada-generation
51,NVIDIA GeForce RTX 3060 8 GB,282,8GB,GDDR6,2022.10,https://www.topcpu.net/cpu/geforce-rtx-3060-8-gb
52,NVIDIA RTX A2000 Embedded,271,8GB,GDDR6,,https://www.topcpu.net/cpu/rtx-a2000-embedded
53,NVIDIA GeForce RTX 3060 Mobile,266,6GB,GDDR6,2021.01,https://www.topcpu.net/cpu/geforce-rtx-3060-mobile
54,NVIDIA GeForce RTX 4050 Mobile,258,6GB,GDDR6,2023.01,https://www.topcpu.net/cpu/geforce-rtx-4050-mobile
55,NVIDIA GeForce RTX 2080 Ti 12 GB,253,12GB,GDDR6,,https://www.topcpu.net/cpu/geforce-rtx-2080-ti-12-gb
56,NVIDIA Quadro RTX 5000 Mobile Refresh,242,16GB,GDDR6,2020.06,https://www.topcpu.net/cpu/quadro-rtx-5000-mobile-refresh
57,NVIDIA Quadro GP100,240,16GB,HBM2,2016.10,https://www.topcpu.net/cpu/quadro-gp100
58,NVIDIA GeForce RTX 2060 SUPER,234,8GB,GDDR6,2019.07,https://www.topcpu.net/cpu/geforce-rtx-2060-super
59,NVIDIA RTX A2000 12 GB,227,12GB,GDDR6,2021.11,https://www.topcpu.net/cpu/rtx-a2000-12-gb
60,NVIDIA Tesla P100 PCIe 16 GB,221,16GB,HBM2,2016.06,https://www.topcpu.net/cpu/tesla-p100-pcie-16-gb
61,NVIDIA RTX A3000 Mobile 12 GB,208,12GB,GDDR6,2022.03,https://www.topcpu.net/cpu/rtx-a3000-mobile-12-gb
62,NVIDIA GeForce RTX 2080 SUPER Max Q,206,8GB,GDDR6,2020.04,https://www.topcpu.net/cpu/geforce-rtx-2080-super-max-q
63,NVIDIA TITAN Xp,201,12GB,GDDR5X,2017.04,https://www.topcpu.net/cpu/titan-xp
64,NVIDIA GeForce RTX 2080 Max Q,197,8GB,GDDR6,2019.01,https://www.topcpu.net/cpu/geforce-rtx-2080-max-q
