排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
43,Intel Core Ultra 7 265F,48248,20,20,2.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-7-265f
44,Intel Core i9 13900,47914,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900
45,Intel Core i9 13980HX,47695,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13980hx
46,Intel Core Ultra 7 265,47434,20,20,2.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-7-265
47,Intel Core i9 14900HX,47406,24,32,2.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900hx
48,Intel Core i7 14700,46819,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700
49,Intel Core i7 14700F,46760,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700f
50,Intel Core i7 13700K,46573,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700k
51,Intel Core i7 13700KF,46398,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700kf
52,AMD Ryzen 9 5950X,45312,16,32,3.4GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-9-5950x
53,Intel Core i9 13900HX,44610,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900hx
54,Intel Core i9 13950HX,44476,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13950hx
55,Intel Core i9 12900KS,44470,16,24,3.4GHz,2022.04,https://www.topcpu.net/cpu/intel-core-i9-12900ks
56,Apple M4 Max 16 Core,43708,16,16,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-16-core
57,Intel Core Ultra 5 245KF,43705,14,14,4.2GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-5-245kf
58,Intel Core Ultra 5 245K,43435,14,14,4.2GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-5-245k
59,Intel Core i9 12900K,41390,16,24,"3,2GHz",2021.10,https://www.topcpu.net/cpu/intel-core-i9-12900k
60,Intel Core i9 12900KF,41190,16,24,3.2GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i9-12900kf
61,Apple M3 Max,41188,16,16,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3-max
62,Apple M1 Ultra,40784,20,20,3.2GHz,2022.03,https://www.topcpu.net/cpu/apple-m1-ultra
63,Intel Core Ultra 5 235,40506,14,14,3.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-5-235
64,AMD Ryzen 7 9800X3D,40072,8,16,4.7GHz,2024.11,https://www.topcpu.net/cpu/amd-ryzen-7-9800x3d
65,AMD Ryzen Threadripper Pro 3995WX,39922,16,32,3.9GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-3995wx
66,AMD Ryzen Threadripper Pro 3955WX,39920,16,32,3.9GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-3955wx
67,Intel Core i5 14600K,39465,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600k
68,Intel Core i7 14650HX,39464,16,24,2.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14650hx
69,Intel Core i5 14600KF,39348,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600kf
70,Intel Core i7 13700F,39319,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700f
71,AMD Ryzen 9 5900X,39196,12,24,3.7GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-9-5900x
72,Apple M4 Max 14 Core,38563,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-14-core
73,AMD Ryzen 9 3950X,38531,16,32,3.5GHz,2019.11,https://www.topcpu.net/cpu/amd-ryzen-9-3950x
74,Intel Core i7 13850HX,38424,20,28,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13850hx
75,Apple M4 Pro 14 Core,38342,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-pro-14-core
76,Intel Core i5 13600K,38230,14,20,3.5GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i5-13600k
77,Intel Core i5 13600KF,37978,14,20,3.5GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i5-13600kf
78,Intel Core i7 13700,37778,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700
79,AMD Ryzen 7 9700X,37369,8,16,3.8GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-7-9700x
80,Intel Core i7 14700HX,36643,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700hx
81,AMD Ryzen 7 7700X,36309,8,16,4.5GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-7-7700x
82,Intel Core Ultra X9 388H,36285,16,16,2.1GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x9-388h
83,AMD Ryzen AI 9 HX 370,35235,12,24,2.0GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-370
84,Intel Core Ultra 7 356H,34888,16,16,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-7-356h
85,Intel Core i7 12700K,34674,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700k
86,Intel Core i5 14500,34661,14,20,2.6GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14500
87,Intel Core i9 12900HX,34632,16,24,2.3GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i9-12900hx
88,AMD Ryzen 9 5900,34510,12,24,3.0GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-9-5900
89,Intel Core i7 12700KF,34419,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700kf
90,Intel Core Ultra X7 358H,33972,16,16,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x7-358h
91,Intel Core i7 12800HX,33577,16,24,2.0GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i7-12800hx
92,Intel Core Ultra 9 285H,33267,16,16,2.9GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285h
93,Apple M4 Pro 12 Core,33123,12,12,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-pro-12-core
94,AMD Ryzen Threadripper Pro 3945WX,33118,12,24,4GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-3945wx
95,Intel Core i9 10980XE,32881,18,36,3.0GHz,2019.10,https://www.topcpu.net/cpu/intel-core-i9-10980xe
96,AMD Ryzen 9 3900XT,32856,12,24,3.8GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-9-3900xt
